SERIAL_NO	TABLE_NAME	SECTION_LEVEL1	SECTION_LEVEL2	FIELD_OID	BUSINESS_NAME	FIELD_NAME	FIELD_LABEL	field_label_zh_cn	field_label_en	FORM_OID	DATA_TYPE	DICT_ITEM	DICT_TABLE	DESCRIPTION	VISIBILITY_CONDITION	RELATED_FIELD	IS_PREDEFINED	FIELD_COMPONENT_TYPE	FIELD_DATA_TYPE
118	CathPCI_Data_Dictionary	E.诊断性心导管术		214	诊断性冠状动脉造影	Has_Diag_Cor_Angio	诊断性冠状动脉造影	诊断性冠状动脉造影	Diagnostic Coronary Angiography Procedure	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
119	CathPCI_Data_Dictionary	E.诊断性心导管术		215	左心室造影	Has_Left_Heart_Cath	左心室造影	左心室造影	Left Heart Cath Procedure	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
120	CathPCI_Data_Dictionary	E.诊断性心导管术		216	诊断性心导管术状态	Dcath_Status_Cd	诊断性心导管术状态	诊断性心导管术状态	Diagnostic Cath Status	3	char(3)	dcath_status	Dict_Candidate_Values				1	radio	list
121	CathPCI_Data_Dictionary	E.诊断性心导管术		217	处理建议(诊断性心导管术后)	Dcath_Treatment_Cd	处理建议(诊断性心导管术后)	处理建议(诊断性心导管术后)	Rx Recommendation (after Diagnostic Cath)	3	char(3)	dcath_treatment	Dict_Candidate_Values				1	radio	list
122	CathPCI_Data_Dictionary	F.冠状动脉造影评估		218	冠脉优势型	Dominance_Cd	冠脉优势型	冠脉优势型	Dominance	3	char(3)	dominance	Dict_Candidate_Values				1	radio	list
123	CathPCI_Data_Dictionary	F.冠状动脉造影评估		219	畸形冠状动脉	If_Anamorphosis_Coronary	畸形冠状动脉(造影)	畸形冠状动脉(造影)	Anomalous coronary artery	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
124	CathPCI_Data_Dictionary	F.冠状动脉造影评估		220	造影结论	Conclusion_Angiography_Type	造影结论	造影结论	Conclusion Angiography Type	3	char(3)	conclusion_angiography_type	Dict_Candidate_Values				1	select	list
125	CathPCI_Data_Dictionary	F.冠状动脉造影评估		221	左主干冠状动脉>=2mm狭窄比例	Lm_Stes_Pct	左主干冠状动脉>=2mm狭窄比例	左主干冠状动脉>=2mm狭窄比例	Left Main Coronary Artery (>=2 Mm) Stenosis Percent	3	int					lm_stes_pct	1	textfield	integer
126	CathPCI_Data_Dictionary	F.冠状动脉造影评估		222	左主干冠状动脉>=2mm狭窄比例未记录	If_Lm_Stes_Na	左主干冠状动脉>=2mm狭窄比例未记录	左主干冠状动脉>=2mm狭窄比例未记录	Left Main Coronary Artery (>=2 Mm) Stenosis Percent Not Documented	3	bit					lm_stes_pct	1	checkbox	boolean
127	CathPCI_Data_Dictionary	F.冠状动脉造影评估		223	LAD近段冠状动脉>=2mm狭窄比例	Prox_Lad_Stes_Pct	LAD近段冠状动脉>=2mm狭窄比例	LAD近段冠状动脉>=2mm狭窄比例	Proximal LAD Coronary Artery (>=2 Mm) Stenosis Percent	3	int					prox_lad_stes_pct	1	textfield	integer
128	CathPCI_Data_Dictionary	F.冠状动脉造影评估		224	LAD近段冠状动脉>=2mm狭窄比例未记录	If_Prox_Lad_Stes_Na	LAD近段冠状动脉>=2mm狭窄比例未记录	LAD近段冠状动脉>=2mm狭窄比例未记录	Proximal LAD Coronary Artery (>=2 Mm) Stenosis Percent  Not Documented	3	bit					prox_lad_stes_pct	1	checkbox	boolean
129	CathPCI_Data_Dictionary	F.冠状动脉造影评估		225	LAD中段/远段，对角支冠状动脉>=2mm狭窄比例	Md_Lad_Stes_Pct	LAD中段/远段，对角支冠状动脉>=2mm狭窄比例	LAD中段/远段，对角支冠状动脉>=2mm狭窄比例	Mid/Distal LAD, Diagonal Branch Coronary Artery (>=2 Mm) Stenosis Percent	3	int					md_lad_stes_pct	1	textfield	integer
130	CathPCI_Data_Dictionary	F.冠状动脉造影评估		226	LAD中段/远段，对角支冠状动脉>=2mm狭窄比例未记录	If_Md_Lad_Stes_Na	LAD中段/远段，对角支冠状动脉>=2mm狭窄比例未记录	LAD中段/远段，对角支冠状动脉>=2mm狭窄比例未记录	Mid/Distal LAD, Diagonal Branch Coronary Artery (>=2 Mm) Stenosis Percent  Not Documented	3	bit					md_lad_stes_pct	1	checkbox	boolean
131	CathPCI_Data_Dictionary	F.冠状动脉造影评估		227	Circ、OMs、LPDA、LPL冠状动脉>=2mm狭窄比例	Circ_Stes_Pct	Circ、OMs、LPDA、LPL冠状动脉>=2mm狭窄比例	Circ、OMs、LPDA、LPL冠状动脉>=2mm狭窄比例	Circ、OMs、LPDA、LPL Coronary Artery (>=2 Mm) Stenosis Percent	3	int					circ_stes_pct	1	textfield	integer
132	CathPCI_Data_Dictionary	F.冠状动脉造影评估		228	Circ、OMs、LPDA、LPL冠状动脉>=2mm狭窄比例未记录	If_Circ_Stes_Na	Circ、OMs、LPDA、LPL冠状动脉>=2mm狭窄比例未记录	Circ、OMs、LPDA、LPL冠状动脉>=2mm狭窄比例未记录	Circ、OMs、LPDA、LPL Coronary Artery (>=2 Mm) Stenosis Percent  Not Documented	3	bit					circ_stes_pct	1	checkbox	boolean
133	CathPCI_Data_Dictionary	F.冠状动脉造影评估		229	RCA、RPDA、RPL、AM冠状动脉>=2mm狭窄比例	Rca_Stes_Pct	RCA、RPDA、RPL、AM冠状动脉>=2mm狭窄比例	RCA、RPDA、RPL、AM冠状动脉>=2mm狭窄比例	RCA, RPDA, RPL, AM Coronary Artery (>=2 Mm) Stenosis Percent	3	int					rca_stes_pct	1	textfield	integer
134	CathPCI_Data_Dictionary	F.冠状动脉造影评估		230	RCA、RPDA、RPL、AM冠状动脉>=2mm狭窄比例未记录	If_Rca_Stes_Na	RCA、RPDA、RPL、AM冠状动脉>=2mm狭窄比例未记录	RCA、RPDA、RPL、AM冠状动脉>=2mm狭窄比例未记录	RCA, RPDA, RPL, AM Coronary Artery (>=2 Mm) Stenosis Percent  Not Documented	3	bit					rca_stes_pct	1	checkbox	boolean
135	CathPCI_Data_Dictionary	F.冠状动脉造影评估		231	中间支冠状动脉>=2mm血管狭窄比例	Ramus_Stes_Pct	中间支冠状动脉>=2mm血管狭窄比例	中间支冠状动脉>=2mm血管狭窄比例	Intermediate Branch Coronary Artery (>=2 Mm) Stenosis Percent	3	int					ramus_stes_pct	1	textfield	integer
136	CathPCI_Data_Dictionary	F.冠状动脉造影评估		232	中间支冠状动脉>=2mm血管狭窄比例未记录	If_Ramus_Stes_Na	中间支冠状动脉>=2mm血管狭窄比例未记录	中间支冠状动脉>=2mm血管狭窄比例未记录	Intermediate Branch Coronary Artery (>=2 Mm) Stenosis Percent   Not Documented	3	bit					ramus_stes_pct	1	checkbox	boolean
137	CathPCI_Data_Dictionary	F.冠状动脉造影评估		233	桥血管	If_Gt_Stes	桥血管	桥血管	Bridge Vessel 	3	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
138	CathPCI_Data_Dictionary	F.冠状动脉造影评估		234	LAD近段桥血管狭窄比例	Prox_Lad_Gt_Stes_Pct	LAD近段桥血管狭窄比例	LAD近段桥血管狭窄比例	Proximal LAD Vascular  Stenosis Percent 	3	int				If_Gt_Stes == 102	prox_lad_gt_stes_pct	1	textfield	integer
139	CathPCI_Data_Dictionary	F.冠状动脉造影评估		235	LAD近段桥血管狭窄比例未记录	If_Prox_Lad_Gt_Stes_Na	LAD近段桥血管狭窄比例未记录	LAD近段桥血管狭窄比例未记录	Proximal LAD Vascular  Stenosis Percent  Not Documented	3	bit				If_Gt_Stes == 102	prox_lad_gt_stes_pct	1	checkbox	boolean
140	CathPCI_Data_Dictionary	F.冠状动脉造影评估		236	LAD中段/远段，对角支桥血管狭窄比例	Md_Lad_Gt_Stes_Pct	LAD中段/远段，对角支桥血管狭窄比例	LAD中段/远段，对角支桥血管狭窄比例	Mid/Distal LAD, Diagonal Branch  Stenosis Percent  	3	int				If_Gt_Stes == 102	md_lad_gt_stes_pct	1	textfield	integer
141	CathPCI_Data_Dictionary	F.冠状动脉造影评估		237	LAD中段/远段，对角支桥血管狭窄比例未记录	If_Md_Lad_Gt_Stes	LAD中段/远段，对角支桥血管狭窄比例未记录	LAD中段/远段，对角支桥血管狭窄比例未记录	Mid/Distal LAD, Diagonal Branch  Stenosis Percent  Not Documented	3	bit				If_Gt_Stes == 102	md_lad_gt_stes_pct	1	checkbox	boolean
142	CathPCI_Data_Dictionary	F.冠状动脉造影评估		238	Circ、OMs、LPDA、LPL桥血管狭窄比例	Circ_Gt_Stes_Pct	Circ、OMs、LPDA、LPL桥血管狭窄比例	Circ、OMs、LPDA、LPL桥血管狭窄比例	Circ、OMs、LPDA、LPL  Stenosis Percent	3	int				If_Gt_Stes == 102	circ_gt_stes_pct	1	textfield	integer
143	CathPCI_Data_Dictionary	F.冠状动脉造影评估		239	Circ、OMs、LPDA、LPL桥血管狭窄比例未记录	If_Circ_Gt_Stes_Na	Circ、OMs、LPDA、LPL桥血管狭窄比例未记录	Circ、OMs、LPDA、LPL桥血管狭窄比例未记录	Circ、OMs、LPDA、LPL  Stenosis Percent  Not Documented	3	bit				If_Gt_Stes == 102	circ_gt_stes_pct	1	checkbox	boolean
144	CathPCI_Data_Dictionary	F.冠状动脉造影评估		240	RCA、RPDA、RPL、AM桥血管狭窄比例	Rca_Gt_Stes_Pct	RCA、RPDA、RPL、AM桥血管狭窄比例	RCA、RPDA、RPL、AM桥血管狭窄比例	RCA, RPDA, RPL, AM  Stenosis Percent	3	int				If_Gt_Stes == 102	rca_gt_stes_pct	1	textfield	integer
145	CathPCI_Data_Dictionary	F.冠状动脉造影评估		241	RCA、RPDA、RPL、AM桥血管狭窄比例未记录	If_Rca_Gt_Stes_Na	RCA、RPDA、RPL、AM桥血管狭窄比例未记录	RCA、RPDA、RPL、AM桥血管狭窄比例未记录	RCA, RPDA, RPL, AM  Stenosis Percent  Not Documented	3	bit				If_Gt_Stes == 102	rca_gt_stes_pct	1	checkbox	boolean
146	CathPCI_Data_Dictionary	F.冠状动脉造影评估		242	中间支桥血管狭窄比例	Ramus_Gt_Stes_Pct	中间支桥血管狭窄比例	中间支桥血管狭窄比例	Intermediate Branch  Stenosis Percent	3	int				If_Gt_Stes == 102	ramus_gt_stes_pct	1	textfield	integer
147	CathPCI_Data_Dictionary	F.冠状动脉造影评估		243	中间支桥血管狭窄比例未记录	If_Ramus_Gt_Stes_Na	中间支桥血管狭窄比例未记录	中间支桥血管狭窄比例未记录	Intermediate Branch  Stenosis Percent  Not Documented	3	bit				If_Gt_Stes == 102	ramus_gt_stes_pct	1	checkbox	boolean
148	CathPCI_Data_Dictionary	F.冠状动脉造影评估		244	动脉桥病变	If_Artery_Gt_Stes	动脉桥病变	动脉桥病变	Artery  Graft Lesion	3	char(3)	if_else_na	Dict_Candidate_Values		If_Gt_Stes == 102		1	radio	list
149	CathPCI_Data_Dictionary	F.冠状动脉造影评估		245	静脉桥病变	If_Vein_Gt_Stes	静脉桥病变	静脉桥病变	Vein Graft Lesion	3	char(3)	if_else_na	Dict_Candidate_Values		If_Gt_Stes == 102		1	radio	list
150	CathPCI_Data_Dictionary	G.PCI手术		246	PCI手术术者姓名	Pci_Physican_Name	PCI手术术者姓名	PCI手术术者姓名	PCI Operator Name	4	nvarchar(100)	physician_name	Registry_Physician				1	select	list
151	CathPCI_Data_Dictionary	G.PCI手术		247	PCI手术术者执照编号	Pci_Physican_Npi	PCI手术术者执照编号	PCI手术术者执照编号	PCI Operator NPI	4	nvarchar(32)						1	textfield	text
152	CathPCI_Data_Dictionary	G.PCI手术		248	第一助手姓名	Assistant_Name	第一助手姓名	第一助手姓名	First Assistant Name	4	nvarchar(100)						1	textfield	text
153	CathPCI_Data_Dictionary	G.PCI手术		249	外请专家姓名	Invite_Expert_Name	外请专家姓名	外请专家姓名	Invited Expert Name	4	nvarchar(100)						1	textfield	text
154	CathPCI_Data_Dictionary	G.PCI手术		250	PCI状态	Pci_Status_Cd	PCI状态	PCI状态	PCI Status	4	char(3)	pci_status	Dict_Candidate_Values				1	radio	list
155	CathPCI_Data_Dictionary	G.PCI手术		251	PCI前LVEF	Pre_Pci_Lvef_Pct	PCI前LVEF	PCI前LVEF	Pre-PCI LVEF	4	decimal(6,2)					pre_pci_lvef_pct	1	textfield	decimal
156	CathPCI_Data_Dictionary	G.PCI手术		252	PCI前LVEF未评估	If_Pre_Pci_Lvef_Na	PCI前LVEF未评估	PCI前LVEF未评估	LVEF Not Assessed Before PCI	4	bit					pre_pci_lvef_pct	1	checkbox	boolean
157	CathPCI_Data_Dictionary	G.PCI手术		253	PCI开始时出现心源性休克	Has_Pci_Cshock	PCI开始时出现心源性休克	PCI开始时出现心源性休克	Cardiogenic Shock at Start of PCI	4	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
158	CathPCI_Data_Dictionary	G.PCI手术		254	PCI指征	Pci_Indication_Cd	PCI指征	PCI指征	PCI Indication	4	char(3)	pci_indication	Dict_Candidate_Values				1	radio	list
159	CathPCI_Data_Dictionary	G.PCI手术		255	STEMI或等同STEMI首次发现于	Stemi_First_Noted_Cd	STEMI或等同STEMI首次发现于	STEMI或等同STEMI首次发现于	STEMI or STEMI Equivalent First Noted	4	char(3)	stemi_first_noted	Dict_Candidate_Values		pci_indication_cd == 101		1	radio	list
160	CathPCI_Data_Dictionary	G.PCI手术		256	出现STEMI或等同于STEMI的后续心电图日期/时间	Sub_Ecg_Dt	出现STEMI或等同于STEMI的后续心电图日期	出现STEMI或等同于STEMI的后续心电图日期	Subsequent ECG with STEMI or STEMI Equivalent Date	4	datetime				stemi_first_noted_cd == 102		1	time	time
161	CathPCI_Data_Dictionary	G.PCI手术		257	STEMI紧急治疗首次装置置入日期	First_Dev_Acti_Dt	STEMI紧急治疗首次装置置入日期	STEMI紧急治疗首次装置置入日期	STEMI First Device Activation Date/Time	4	datetime				pci_indication_cd == 101		1	time	time
162	CathPCI_Data_Dictionary	G.PCI手术		258	D2B 时间(分钟)	D2B_Time	D2B 时间(分钟)	D2B 时间(分钟)	D2B_Time(minute)	4	decimal(6,2)						1	textfield	decimal
163	CathPCI_Data_Dictionary	G.PCI手术		259	STEMI紧急治疗是否转诊	If_Pat_Trans_Pci	STEMI紧急治疗是否转诊	STEMI紧急治疗是否转诊	STEMI Transferred In	4	char(3)	if_else_na	Dict_Candidate_Values		pci_indication_cd == 101		1	radio	list
164	CathPCI_Data_Dictionary	G.PCI手术		260	进入转诊机构急诊室的日期	Ed_Present_Dt	进入转诊机构急诊室的日期	进入转诊机构急诊室的日期	Date/Time ED Presentation at Referring Facility	4	datetime				if_pat_trans_pci == 102		1	time	time
165	CathPCI_Data_Dictionary	G.PCI手术		261	STEMI紧急治疗是否出现非系统性原因导致PCI延迟	Pci_Delay_Reason_Cd	STEMI紧急治疗是否出现非系统性原因导致PCI延迟	STEMI紧急治疗是否出现非系统性原因导致PCI延迟	STEMI Non-system Reason for Delay in PCI	4	char(3)	pci_delay_reason	Dict_Candidate_Values		pci_indication_cd == 101		1	radio	list
166	CathPCI_Data_Dictionary	G.PCI手术	手术用药	262	磺达肝癸钠	Pm_Fondaparinux_Cd	磺达肝癸钠	磺达肝癸钠	Fondaparinux Sodium	4	char(3)	medication_administer	Dict_Candidate_Values				1	radio	list
167	CathPCI_Data_Dictionary	G.PCI手术		263	低分子肝素(任意)	Pm_Lmwh_Cd	低分子肝素(任意)	低分子肝素(任意)	Low molecular Heparin (any)	4	char(3)	medication_administer	Dict_Candidate_Values				1	radio	list
168	CathPCI_Data_Dictionary	G.PCI手术		264	普通肝素(任意)	Pm_Uh_Cd	普通肝素(任意)	普通肝素(任意)	Unfractionated Heparin (any)	4	char(3)	medication_administer	Dict_Candidate_Values				1	radio	list
169	CathPCI_Data_Dictionary	G.PCI手术		265	阿司匹林(任意)(PCI)	Pm_Aspirin_Cd	阿司匹林(任意)(PCI)	阿司匹林(任意)(PCI)	Aspirin (any)(PCI)	4	char(3)	medication_administer	Dict_Candidate_Values				1	radio	list
170	CathPCI_Data_Dictionary	G.PCI手术		266	比伐卢定	Pm_Bivalirudin_Cd	比伐卢定	比伐卢定	Bivalirudin	4	char(3)	medication_administer	Dict_Candidate_Values				1	radio	list
171	CathPCI_Data_Dictionary	G.PCI手术		267	直接凝血酶抑制剂(其他)	Pm_Dti_Cd	直接凝血酶抑制剂(其他)	直接凝血酶抑制剂(其他)	Direct Thrombin Inhibitor (other)	4	char(3)	medication_administer	Dict_Candidate_Values				1	radio	list
172	CathPCI_Data_Dictionary	G.PCI手术		268	IIb/IIIa受体拮抗剂(任意)	Pm_Gpiib_Iiia_Cd	IIb/IIIa受体拮抗剂(任意)	IIb/IIIa受体拮抗剂(任意)	IIb/IIIa Receptor Antagon (any)	4	char(3)	medication_administer	Dict_Candidate_Values				1	radio	list
173	CathPCI_Data_Dictionary	G.PCI手术		269	氯吡格雷(PCI)	Pm_Clopidogrel_Cd	氯吡格雷(PCI)	氯吡格雷(PCI)	Clopidogrel(PCI)	4	char(3)	medication_administer	Dict_Candidate_Values				1	radio	list
174	CathPCI_Data_Dictionary	G.PCI手术		270	普拉格雷(PCI)	Pm_Prasugrel_Cd	普拉格雷(PCI)	普拉格雷(PCI)	Prasugrel(PCI)	4	char(3)	medication_administer	Dict_Candidate_Values				1	radio	list
175	CathPCI_Data_Dictionary	G.PCI手术		271	替卡格雷	Pm_Ticagrelor_Cd	替卡格雷	替卡格雷	Ticagrelor	4	char(3)	medication_administer	Dict_Candidate_Values				1	radio	list
176	CathPCI_Data_Dictionary	G.PCI手术		272	噻氯吡啶(PCI)	Pm_Ticlopidine_Cd	噻氯吡啶(PCI)	噻氯吡啶(PCI)	Ticlopidine(PCI)	4	char(3)	medication_administer	Dict_Candidate_Values				1	radio	list
177	CathPCI_Data_Dictionary	I.实验室检查		273	术前CK-MB(ng/mL)	Prep_Ckmb_Ngml	术前CK-MB(ng/mL)	术前CK-MB(ng/mL)	Pre-procedure CK-MB(ng/mL)	6	decimal(6,2)					prep_ckmb_ngml	1	textfield	decimal
178	CathPCI_Data_Dictionary	I.实验室检查		274	术前CK-MB未检测	If_Prep_Ckmb_Nd	术前CK-MB未检测	术前CK-MB未检测	Pre-procedure CK-MB(ng/mL) Not Drawn	6	bit					prep_ckmb_ngml	1	checkbox	boolean
179	CathPCI_Data_Dictionary	I.实验室检查		275	术前肌钙蛋白I(ng/mL)	Prep_Tnl_Ngml	术前肌钙蛋白I(ng/mL)	术前肌钙蛋白I(ng/mL)	Pre-procedure Troponin l (ng/mL)	6	decimal(6,2)					prep_tnl_ngml	1	textfield	decimal
180	CathPCI_Data_Dictionary	I.实验室检查		276	术前肌钙蛋白I未检测	If_Prep_Tnl_Nd	术前肌钙蛋白I未检测	术前肌钙蛋白I未检测	Pre-procedure Troponin l Not Drawn	6	bit					prep_tnl_ngml	1	checkbox	boolean
181	CathPCI_Data_Dictionary	I.实验室检查		277	术前肌钙蛋白T(ng/mL)	Prep_Tnt_Ngml	术前肌钙蛋白T(ng/mL)	术前肌钙蛋白T(ng/mL)	Pre-procedure Troponin T (ng/mL)	6	decimal(6,2)					prep_tnt_ngml	1	textfield	decimal
182	CathPCI_Data_Dictionary	I.实验室检查		278	术前肌钙蛋白T未检测	If_Prep_Tnt_Nd	术前肌钙蛋白T未检测	术前肌钙蛋白T未检测	Pre-procedure Troponin T Not Drawn	6	bit					prep_tnt_ngml	1	checkbox	boolean
183	CathPCI_Data_Dictionary	I.实验室检查		279	术前肌酐(μmol/L)	Prep_Creat_Mgdl	术前肌酐(μmol/L)	术前肌酐(μmol/L)	Pre-procedure Creatinine	6	decimal(6,2)					prep_creat_mgdl	1	textfield	decimal
184	CathPCI_Data_Dictionary	I.实验室检查		280	术前肌酐未检测	If_Prep_Creat_Nd	术前肌酐未检测	术前肌酐未检测	Pre-procedure Creatinine Not Drawn	6	bit					prep_creat_mgdl	1	checkbox	boolean
185	CathPCI_Data_Dictionary	I.实验室检查		281	术前血红蛋白(g/L)	Prep_Hgb_Gdl	术前血红蛋白(g/L)	术前血红蛋白(g/L)	Pre-procedure Hemoglobin(g/L)	6	decimal(6,2)					prep_hgb_gdl	1	textfield	decimal
186	CathPCI_Data_Dictionary	I.实验室检查		282	术前血红蛋白未检测	If_Prep_Hgb_Nd	术前血红蛋白未检测	术前血红蛋白未检测	Pre-procedure Hemoglobin Not Drawn	6	bit					prep_hgb_gdl	1	checkbox	boolean
187	CathPCI_Data_Dictionary	I.实验室检查		283	术前低密度脂蛋白(LDL)(mmol/L)	Prep_Ldl_Mgdl	术前低密度脂蛋白(LDL)(mmol/L)	术前低密度脂蛋白(LDL)(mmol/L)	Pre-procedure Low-density Lipoprotein (LDL)	6	decimal(6,2)					prep_ldl_mgdl	1	textfield	decimal
188	CathPCI_Data_Dictionary	I.实验室检查		284	术前低密度脂蛋白(LDL)未检测	If_Prep_Ldl_Nd	术前低密度脂蛋白(LDL)未检测	术前低密度脂蛋白(LDL)未检测	Pre-procedure Low-density Lipoprotein (LDL) Not Drawn	6	bit					prep_ldl_mgdl	1	checkbox	boolean
189	CathPCI_Data_Dictionary	I.实验室检查		285	术前B型脑钠肽(BNP)(pg/mL)	Prep_Bnp_Pgml	术前B型脑钠肽(BNP)(pg/mL)	术前B型脑钠肽(BNP)(pg/mL)	Pre-procedure Type B Brain Natriuretic Peptide (BNP)	6	decimal(6,2)					prep_bnp_pgml	1	textfield	decimal
190	CathPCI_Data_Dictionary	I.实验室检查		286	术前B型脑钠肽(BNP)未检测	If_Prep_Bnp_Nd	术前B型脑钠肽(BNP)未检测	术前B型脑钠肽(BNP)未检测	Pre-procedure Type B Brain Natriuretic Peptide (BNP) Not Drawn	6	bit					prep_bnp_pgml	1	checkbox	boolean
191	CathPCI_Data_Dictionary	I.实验室检查		287	术前超敏CRP(Hs-CRP)(μg/mL)	Prep_Hscrp_Ugml	术前超敏CRP(Hs-CRP)(μg/mL)	术前超敏CRP(Hs-CRP)(μg/mL)	Pre-procedure Hypersensitive CRP (Hs-CRP)	6	decimal(6,2)					prep_hscrp_ugml	1	textfield	decimal
192	CathPCI_Data_Dictionary	I.实验室检查		288	术前超敏CRP(Hs-CRP)未检测	If_Prep_Hscrp_Nd	术前超敏CRP(Hs-CRP)未检测	术前超敏CRP(Hs-CRP)未检测	Pre-procedure Hypersensitive CRP (Hs-CRP) Not Drawn	6	bit					prep_hscrp_ugml	1	checkbox	boolean
193	CathPCI_Data_Dictionary	I.实验室检查		289	术前eGFR(mL/min*1.73m²)	Prep_Egfr_Mlmin	术前eGFR(mL/min*1.73m²)	术前eGFR(mL/min*1.73m²)	Pre-procedure eGFR(mL/min*1.73m²)	6	decimal(6,2)					prep_egfr_mlmin	1	textfield	decimal
194	CathPCI_Data_Dictionary	I.实验室检查		290	术前eGFR未检测	If_Prep_Egfr_Nd	术前eGFR未检测	术前eGFR未检测	Pre-procedure eGFR(mL/min*1.73m²) Not Drawn	6	bit					prep_egfr_mlmin	1	checkbox	boolean
195	CathPCI_Data_Dictionary	I.实验室检查		291	CK-MB(ng/mL)	Ckmb_Ngml	CK-MB(ng/mL)	CK-MB(ng/mL)	CK-MB (ng/mL)	6	decimal(6,2)					ckmb_ngml	1	textfield	decimal
196	CathPCI_Data_Dictionary	I.实验室检查		292	肌钙蛋白I(ng/mL)	Tnl_Ngml	肌钙蛋白I(ng/mL)	肌钙蛋白I(ng/mL)	Troponin l (ng/mL)	6	decimal(6,2)					tnl_ngml	1	textfield	decimal
197	CathPCI_Data_Dictionary	I.实验室检查		293	肌钙蛋白T(ng/mL)	Tnt_Ngml	肌钙蛋白T(ng/mL)	肌钙蛋白T(ng/mL)	Troponin T (ng/mL)	6	decimal(6,2)					tnt_ngml	1	textfield	decimal
198	CathPCI_Data_Dictionary	I.实验室检查		294	肌酐(μmol/L)	Creat_Mgdl	肌酐(μmol/L)	肌酐(μmol/L)	Creatinine (μmol/L)	6	decimal(6,2)					creat_mgdl	1	textfield	decimal
199	CathPCI_Data_Dictionary	I.实验室检查		295	血红蛋白(g/L)	Hgb_Gdl	血红蛋白(g/L)	血红蛋白(g/L)	Hemoglobin (g/L)	6	decimal(6,2)					hgb_gdl	1	textfield	decimal
200	CathPCI_Data_Dictionary	I.实验室检查		296	低密度脂蛋白(LDL)(mmol/L)	Ldl_Mgdl	低密度脂蛋白(LDL)(mmol/L)	低密度脂蛋白(LDL)(mmol/L)	Low-density Lipoprotein (LDL) (mmol/L)	6	decimal(6,2)					ldl_mgdl	1	textfield	decimal
201	CathPCI_Data_Dictionary	I.实验室检查		297	B型脑钠肽(BNP)(pg/mL)	Bnp_Pgml	B型脑钠肽(BNP)(pg/mL)	B型脑钠肽(BNP)(pg/mL)	Type B Brain Natriuretic Peptide (BNP) (pg/mL)	6	decimal(6,2)					bnp_pgml	1	textfield	decimal
202	CathPCI_Data_Dictionary	I.实验室检查		298	超敏CRP(Hs-CRP)(μg/mL)	Hscrp_Ugml	超敏CRP(Hs-CRP)(μg/mL)	超敏CRP(Hs-CRP)(μg/mL)	Hypersensitive CRP (Hs-CRP)(μg/mL)	6	decimal(6,2)					hscrp_ugml	1	textfield	decimal
203	CathPCI_Data_Dictionary	I.实验室检查		299	eGFR(mL/min*1.73m²)	Egfr_Mlmin	eGFR(mL/min*1.73m²)	eGFR(mL/min*1.73m²)	eGFR(mL/min*1.73m²)	6	decimal(6,2)					egfr_mlmin	1	textfield	decimal
204	CathPCI_Data_Dictionary	I.实验室检查		300	术后CK-MB(ng/mL)	Postp_Ckmb_Ngml	术后CK-MB(ng/mL)	术后CK-MB(ng/mL)	Post-procedure CK-MB(ng/mL)	6	decimal(6,2)					postp_ckmb_ngml	1	textfield	decimal
205	CathPCI_Data_Dictionary	I.实验室检查		301	术后CK不可用	If_Postp_Ck_Nd	术后CK不可用	术后CK不可用	Post-procedure CK Not Applicable	6	bit					postp_ckmb_ngml	1	checkbox	boolean
206	CathPCI_Data_Dictionary	I.实验室检查		302	术后CK检测且正常(6-24小时峰值)	If_Postp_Ckmb_Nm	术后CK检测且正常(6-24小时峰值)	术后CK检测且正常(6-24小时峰值)	CK-test Normal (peak value within the interval of 6-24 hours)	6	bit					postp_ckmb_ngml	1	checkbox	boolean
207	CathPCI_Data_Dictionary	I.实验室检查		303	术后肌钙蛋白I(ng/mL)(6-24小时峰值)	Postp_Tnl_Ngml	术后肌钙蛋白I(ng/mL)(6-24小时峰值)	术后肌钙蛋白I(ng/mL)(6-24小时峰值)	Post-procedure Troponin l (ng/mL)(peak value within the interval of 6-24 hours)	6	decimal(6,2)					postp_tnl_ngml	1	textfield	decimal
208	CathPCI_Data_Dictionary	I.实验室检查		304	术后肌钙蛋白I未检测	If_Postp_Tnl_Nd	术后肌钙蛋白I未检测	术后肌钙蛋白I未检测	Post-procedure Troponin l Not Drawn	6	bit					postp_tnl_ngml	1	checkbox	boolean
209	CathPCI_Data_Dictionary	I.实验室检查		305	术后肌钙蛋白T(ng/mL)(6-24小时峰值)	Postp_Tnt_Ngml	术后肌钙蛋白T(ng/mL)(6-24小时峰值)	术后肌钙蛋白T(ng/mL)(6-24小时峰值)	Post-procedure Troponin T (ng/mL) (peak value within the interval of 6-24 hours)	6	decimal(6,2)					postp_tnt_ngml	1	textfield	decimal
210	CathPCI_Data_Dictionary	I.实验室检查		306	术后肌钙蛋白T未检测	If_Postp_Tnt_Nd	术后肌钙蛋白T未检测	术后肌钙蛋白T未检测	Post-procedure Troponin T Not Drawn	6	bit					postp_tnt_ngml	1	checkbox	boolean
